App Name,App Id,Category,Rating,Rating Count,Installs,Minimum Installs,Free,Price,Currency,Size,Minimum Android,Developer Id,Developer Website,Developer Email,Released,Last update,Privacy Policy,Content Rating,Ad Supported,In app purchases,Editor Choice,Summary,Reviews,Android version Text,Developer,Developer Address,Developer Internal ID,Version
Early Learning App - Kids Piano & Puzzles,education.kids.learning,Education,4.271845,846,"500,000+",500000,TRUE,0,USD,27M,4.1,7415446147207130000,https://blank-b131c.firebaseapp.com/,rishabh.cse12@gmail.com,"Aug 27, 2019","June 4, 2020",https://sites.google.com/view/earlylearninggame/home,Everyone,TRUE,TRUE,FALSE,"Kids Piano, Music & ABC Kids Puzzle Games for Pre-school and Kindergarten kids",502,4.1 and up,Early Learn,CA,7.41545E+18,2.7
Early Learning App For Kids,earlylearn.kidslearningworld,Education,4.3849316,7214,"1,000,000+",1000000,TRUE,0,USD,8.9M,5,7415446147207130000,https://blank-b131c.firebaseapp.com,rishabh.cse12@gmail.com,"Jun 15, 2019","April 20, 2021",https://sites.google.com/view/earlylearninggame/home,Everyone,TRUE,FALSE,FALSE,"Kids Learning Games for preschoolers, kindergarten - Learn ABCD, Shapes, Rhymes",1624,5.0 and up,Early Learn,CA,7.41545E+18,5.8
Desert Runner Boy,desert.runner.boy,Adventure,4.5882354,111,"10,000+",10000,TRUE,0,USD,6.8M,4.1,7415446147207130000,https://blank-b131c.firebaseapp.com/,rishabh.cse12@gmail.com,"Jun 19, 2020","June 19, 2020",https://sites.google.com/view/desertrunnerboy,Everyone,TRUE,FALSE,FALSE,Endless Desert Runner Game with a Super Runner Boy - avoid obstacles,70,4.1 and up,Early Learn,CA,7.41545E+18,1
ABC Kids - Alphabet & Number Tracing & Phonics,preschool.kids.abc.tracing,Educational,0,N/A,"10,000+",10000,TRUE,0,USD,21M,4.1,7415446147207130000,https://blank-b131c.firebaseapp.com/,rishabh.cse12@gmail.com,"May 23, 2020","December 28, 2020",https://sites.google.com/view/abctracing-privacypolicy,Everyone,TRUE,TRUE,FALSE,"ABC & Number Tracing, Drawing and Matching Game for Preschool Kids, Toddlers",0,4.1 and up,Early Learn,CA,7.41545E+18,1.5
Kids Word Games: Early Learning,kids.word.games,Educational,5,6,"1,000+",1000,TRUE,0,USD,13M,4.1,7415446147207130000,https://blank-b131c.firebaseapp.com/,rishabh.cse12@gmail.com,"Jun 7, 2020","June 8, 2020",https://sites.google.com/view/kidswordgame/home,Everyone,TRUE,FALSE,FALSE,"Kids Educational Word Games to help preschool kids - word matching, word games",2,4.1 and up,Early Learn,CA,7.41545E+18,1.2
"Early Learning for Kindergarten Kids: ABC, Rhymes",earlylearn.kidslearningworld.pro,Education,0,N/A,5+,5,FALSE,6.49,USD,7.0M,5,7415446147207130000,N/A,rishabh.cse12@gmail.com,"Apr 22, 2021","April 22, 2021",https://sites.google.com/view/early-learning-pro,Everyone,N/A,FALSE,FALSE,"Preschool Educational Learning app for kids to learn ABCD, Numbers, Shapes",0,5.0 and up,Early Learn,CA,7.41545E+18,1
Word Link: Word Connect Puzzle Game,word.link.connect.puzzle,Educational,4.5882354,17,"1,000+",1000,TRUE,0,USD,19M,4.1,7415446147207130000,N/A,rishabh.cse12@gmail.com,"Jun 7, 2020","June 7, 2020",https://sites.google.com/view/wordlinkgame/home,Everyone,TRUE,TRUE,FALSE,"Connect letters to form a word with the best word link, word connect puzzle",8,4.1 and up,Early Learn,CA,7.41545E+18,1.1
Math Kids Game,earlylearn.math.game,Educational,5,11,"1,000+",1000,TRUE,0,USD,25M,4.4,7415446147207130000,N/A,rishabh.cse12@gmail.com,"Apr 20, 2020","April 21, 2020",https://sites.google.com/view/kids-math-game-privacy-policy/home,Everyone,N/A,FALSE,FALSE,"Fun Math Games for kids - Multiplication, Fraction & Make15 Games",3,4.4 and up,Early Learn,CA,7.41545E+18,1.1
Best Time to Get Pregnant,best.time.to.get.pregnant.ttf,Health & Fitness,4.0526314,38,"50,000+",50000,TRUE,0,USD,6.5M,5,8003749631382970000,https://tutorify.my.id/,orvalwekawulusanyub@gmail.com,"Oct 27, 2018","September 3, 2020",https://app-in-minutes.com/application/privacypolicy?id=5bd3413b881a9,Teen,TRUE,FALSE,FALSE,Learn all about best time to get pregnant faster with tips and knowledge from us,10,5.0 and up,TUTORIFY,East Java,8.00375E+18,1.2
Communication in Relationships - Tips and Guides,com.communication.in.relationships.ttf,Lifestyle,4.2,20,"10,000+",10000,TRUE,0,USD,6.7M,4.4,8003749631382970000,https://tutorify.my.id/,orvalwekawulusanyub@gmail.com,"Oct 3, 2018","February 10, 2020",https://app-in-minutes.com/application/privacypolicy?id=5bb48007ef392,Teen,TRUE,FALSE,FALSE,Knowledge about Communication in Relationships with tips and guides,5,4.4 and up,TUTORIFY,East Java,8.00375E+18,1.3
SMOOTH PICK UP LINES,smooth.pick.up.lines.ttf,Dating,4,8,"5,000+",5000,TRUE,0,USD,7.2M,4.4,8003749631382970000,https://tutorify.my.id/,orvalwekawulusanyub@gmail.com,"Jan 18, 2019","November 23, 2019",https://app-in-minutes.com/application/privacypolicy?id=5c41cd6f4dfbc,Teen,TRUE,FALSE,FALSE,Find out Smooth Pick Up Lines here to get someone you like,2,4.4 and up,TUTORIFY,East Java,8.00375E+18,1.1
Types Of Martial Arts,types.of.martial.arts.ttf,Sports,0,N/A,100+,100,TRUE,0,USD,6.9M,4.4,8003749631382970000,https://tutorify.my.id/,orvalwekawulusanyub@gmail.com,"Feb 3, 2019","November 23, 2019",https://app-in-minutes.com/application/privacypolicy?id=5c567adb79599,Everyone 10+,TRUE,FALSE,FALSE,Let's learn about Types Of Martial Arts,0,4.4 and up,TUTORIFY,East Java,8.00375E+18,1.1
Dating Questions,dating.questions.ttf,Lifestyle,0,N/A,"1,000+",1000,TRUE,0,USD,6.6M,4.4,8003749631382970000,https://tutorify.my.id/,orvalwekawulusanyub@gmail.com,"Jan 23, 2019","November 23, 2019",https://app-in-minutes.com/application/privacypolicy?id=5c48401d858ce,Teen,TRUE,FALSE,FALSE,Let's Find Best Dating Questions here,0,4.4 and up,TUTORIFY,East Java,8.00375E+18,1.1
DATE IDEAS - Guide,date.ideas.ttf,Dating,0,N/A,100+,100,TRUE,0,USD,6.9M,4.4,8003749631382970000,https://tutorify.my.id/,orvalwekawulusanyub@gmail.com,"Jan 22, 2019","November 23, 2019",https://app-in-minutes.com/application/privacypolicy?id=5c46e86306460,Teen,TRUE,FALSE,FALSE,Let's make best Date Ideas through this app,0,4.4 and up,TUTORIFY,East Java,8.00375E+18,1.1
Age Gap Relationships - Guide,age.gap.relationships.ttf,Lifestyle,0,N/A,"1,000+",1000,TRUE,0,USD,6.7M,5,8003749631382970000,https://tutorify.my.id/,orvalwekawulusanyub@gmail.com,"Jan 7, 2019","September 5, 2020",https://app-in-minutes.com/application/privacypolicy?id=5c3304557274f,Teen,TRUE,FALSE,FALSE,Knowing about Age Gap Relationships,0,5.0 and up,TUTORIFY,East Java,8.00375E+18,1.2
How to Conceive a Girl - Guide,how.to.conceive.a.girl.ttf,Health & Fitness,2.5,8,"10,000+",10000,TRUE,0,USD,6.8M,4.4,8003749631382970000,https://tutorify.my.id/,orvalwekawulusanyub@gmail.com,"Nov 28, 2018","November 20, 2019",https://app-in-minutes.com/application/privacypolicy?id=5bfe6c08cd2ec,Teen,TRUE,FALSE,FALSE,Find Out The Best way How to Conceive a Girl,2,4.4 and up,TUTORIFY,East Java,8.00375E+18,1.1
EARLY CHILDHOOD EDUCATION - Guide and Knowledge,early.childhood.education.ttf,Education,4.285714,21,"10,000+",10000,TRUE,0,USD,6.8M,5,8003749631382970000,https://tutorify.my.id/,orvalwekawulusanyub@gmail.com,"Nov 8, 2018","September 19, 2020",https://app-in-minutes.com/application/privacypolicy?id=5be40d431f3bf,Teen,TRUE,FALSE,FALSE,Understanding Early Childhood Education Deeply,12,5.0 and up,TUTORIFY,East Java,8.00375E+18,1.2
Benefits of Hot Yoga - Knowledge and Tips,benefits.of.hot.yoga.ttf,Health & Fitness,0,N/A,10+,10,TRUE,0,USD,6.8M,5,8003749631382970000,https://tutorify.my.id/,orvalwekawulusanyub@gmail.com,"Oct 29, 2018","September 19, 2020",https://app-in-minutes.com/application/privacypolicy?id=5bd6dc9d34c0f,Teen,TRUE,FALSE,FALSE,Start learning the benefits of Hot Yoga and try to practice better,0,5.0 and up,TUTORIFY,East Java,8.00375E+18,1.6
Worksheets: Preschool & Kindergarten Learning,mobi.ka.gp.wrkshts.app,Education,3.6138613,335,"100,000+",100000,TRUE,0,USD,70M,6,7132769464697860000,https://www.kidsacademy.mobi,kids.a.co@gmail.com,"Jun 27, 2017","April 20, 2021",https://www.kidsacademy.mobi/privacy,Everyone,N/A,TRUE,FALSE,Get the best of the two worlds in one app: interactive and printable worksheets!,164,6.0 and up,Preschool & Kindergarten Learning Kids Games,"200 MIDDLESEX TPKE STE 204
ISELIN, NJ 08830",7.13277E+18,3.2.10
Kids Academy: Pre-K-3 learning & educational games,air.mobi.ka.platform.gp.cont1.free,Education,3.0631971,2690,"100,000+",100000,TRUE,0,USD,Varies with device,6,7132769464697860000,https://www.kidsacademy.mobi,kids.a.co@gmail.com,"Nov 20, 2017","April 8, 2021",https://www.kidsacademy.mobi/privacy,Everyone,N/A,TRUE,FALSE,"#1 learning program for kids from 2-10 with 5,000+ games, videos & worksheets!",560,6.0 and up,Preschool & Kindergarten Learning Kids Games,"200 MIDDLESEX TPKE STE 204
ISELIN, NJ 08830",7.13277E+18,4.1.7
Kindergarten Math & Reading - Preschool Education,air.mobi.kidsacademy.gp.container5.free,Education,3.8514853,524,"100,000+",100000,TRUE,0,USD,Varies with device,6,7132769464697860000,https://www.kidsacademy.mobi,kids.a.co@gmail.com,"Oct 6, 2015","March 17, 2021",https://www.kidsacademy.mobi/privacy,Everyone,N/A,TRUE,FALSE,"Learning games for preschool kids and toddlers. Math, reading, alphabet and more",240,6.0 and up,Preschool & Kindergarten Learning Kids Games,"200 MIDDLESEX TPKE STE 204
ISELIN, NJ 08830",7.13277E+18,2.0.4
Sorting 3: early learning academy for preschool,mobi.ka.th.sorting3.free,Educational,3.857143,7,"5,000+",5000,TRUE,0,USD,24M,4.1,7132769464697860000,https://www.kidsacademy.mobi,kids.a.co@gmail.com,"Apr 3, 2020","April 6, 2020",https://www.kidsacademy.mobi/privacy/,Everyone,TRUE,TRUE,FALSE,"Kindergarten learning games for kids, Toddler match and classify puzzles, shapes",0,4.1 and up,Preschool & Kindergarten Learning Kids Games,"200 MIDDLESEX TPKE STE 204
ISELIN, NJ 08830",7.13277E+18,1.0.5
Sorting puzzles 2: Pre-k preschool learning games,mobi.ka.th.sorting2.free,Educational,3.967742,31,"10,000+",10000,TRUE,0,USD,23M,4.1,7132769464697860000,https://www.kidsacademy.mobi,kids.a.co@gmail.com,"Aug 2, 2018","April 28, 2020",https://www.kidsacademy.mobi/privacy,Everyone,TRUE,TRUE,FALSE,An educational game for children of age 2.5 and up.,8,4.1 and up,Preschool & Kindergarten Learning Kids Games,"200 MIDDLESEX TPKE STE 204
ISELIN, NJ 08830",7.13277E+18,1.0.3
Raccoon Treehouse: Kids puzzles & sorting games,mobi.ka.th.raccoons.free,Educational,3.8333333,30,"10,000+",10000,TRUE,0,USD,39M,4.1,7132769464697860000,https://www.kidsacademy.mobi,kids.a.co@gmail.com,"Aug 20, 2018","April 12, 2020",https://www.kidsacademy.mobi/privacy/,Everyone,TRUE,TRUE,FALSE,"Toddler learning games to teach your child to SORT, MATCH and CLASSIFY",19,4.1 and up,Preschool & Kindergarten Learning Kids Games,"200 MIDDLESEX TPKE STE 204
ISELIN, NJ 08830",7.13277E+18,1.0.4
Kids Academy: Sorting Puzzles for Kids,mobi.ka.th.sorting1.free,Education,3.4,5,"1,000+",1000,TRUE,0,USD,25M,4.1,7132769464697860000,https://www.kidsacademy.mobi,kids.a.co@gmail.com,"Aug 20, 2018","April 6, 2020",https://www.kidsacademy.mobi/privacy/,Everyone,TRUE,TRUE,FALSE,"Matching and sorting games for preschool. Learn colors, shapes and counting.",1,4.1 and up,Preschool & Kindergarten Learning Kids Games,"200 MIDDLESEX TPKE STE 204
ISELIN, NJ 08830",7.13277E+18,1.0.5
Learning games: toddler kids +,mobi.ka.th.toyfactory.full,Educational,0,N/A,10+,10,FALSE,2.99,USD,49M,6,7132769464697860000,https://www.kidsacademy.mobi,kids.a.co@gmail.com,"Aug 21, 2018","August 22, 2018",https://www.kidsacademy.mobi/privacy,Everyone,N/A,FALSE,FALSE,"Match puzzles, shapes, colors",0,6.0 and up,Preschool & Kindergarten Learning Kids Games,"200 MIDDLESEX TPKE STE 204
ISELIN, NJ 08830",7.13277E+18,1.0.0
Kids puzzles & learning games,mobi.ka.th.raccoons.full,Educational,0,N/A,10+,10,FALSE,3.99,USD,38M,6,7132769464697860000,https://www.kidsacademy.mobi,kids.a.co@gmail.com,"Aug 20, 2018","August 20, 2018",https://www.kidsacademy.mobi/privacy/,Everyone,N/A,FALSE,FALSE,Toddler learning games,0,6.0 and up,Preschool & Kindergarten Learning Kids Games,"200 MIDDLESEX TPKE STE 204
ISELIN, NJ 08830",7.13277E+18,1.0.0
Learn Montessori 123 numbers,air.mobi.kidsacademy.gp.num.tracing.lite,Education,3.6534653,170,"50,000+",50000,TRUE,0,USD,56M,4,7132769464697860000,http://www.kidsacademy.mobi/,kids.a.co@gmail.com,"Jul 26, 2013","March 10, 2017",http://www.kidsacademy.mobi/privacy/,Everyone,N/A,FALSE,FALSE,Action-packed app that teaches kids numbers and essential math skills.,27,4.0 and up,Preschool & Kindergarten Learning Kids Games,"200 MIDDLESEX TPKE STE 204
ISELIN, NJ 08830",7.13277E+18,1.0.4
Montessori Preschool,com.edokicademy.montessoriacademy,Education,3.9040248,3219,"1,000,000+",1000000,TRUE,0,USD,63M,5,9017602380275420000,http://www.edokiacademy.com,support@edokiacademy.com,"Jul 3, 2017","April 13, 2021",https://montessori.edokiacademy.com/en/privacy-policy/,Everyone,N/A,TRUE,FALSE,"The most comprehensive preschool app: from ABCs to reading, writing & much more!",1936,5.0 and up,EDOKI ACADEMY,"10 rue de Penthièvre
75008 Paris - France",9.0176E+18,3.8
Busy Shapes & Colors,com.edokiacademy.busyshapesandcolors,Education,3.7040815,98,"50,000+",50000,TRUE,0,USD,67M,4.4,9017602380275420000,http://www.edokiacademy.com,support@edokiacademy.com,"Aug 31, 2017","July 25, 2019",https://www.edokiacademy.com/en/privacy-policy/,Everyone,N/A,TRUE,FALSE,The best color & shape app for toddlers!,48,4.4 and up,EDOKI ACADEMY,"10 rue de Penthièvre
75008 Paris - France",9.0176E+18,1.6
Code Karts Pre-coding for kids,com.edokiacademy.babycoding,Education,3.62,404,"100,000+",100000,TRUE,0,USD,52M,4.1,9017602380275420000,http://www.edokiacademy.com,support@edokiacademy.com,"May 25, 2017","June 8, 2020",http://www.edokiacademy.com/en/privacy-policy/,Everyone,N/A,TRUE,FALSE,Understand the logic of coding & develop essential skills in Preschool,200,4.1 and up,EDOKI ACADEMY,"10 rue de Penthièvre
75008 Paris - France",9.0176E+18,4.2
Montessori Nature,com.edokiacademy.garden,Education,4.16,252,"50,000+",50000,TRUE,0,USD,44M,4.4,9017602380275420000,http://www.edokiacademy.com,support@edokicademy.com,"Dec 16, 2016","March 31, 2017",https://www.edokiacademy.com/en/privacy-policy/,Everyone,N/A,FALSE,FALSE,"Explore. Nurture. Grow
At last a gardening app that doesn't cost the earth!",105,4.4 and up,EDOKI ACADEMY,"10 rue de Penthièvre
75008 Paris - France",9.0176E+18,1.1.7
Sing & Play: Wheels on the bus,com.edokiacademy.wheelsonthebus,Education,3.5625,16,"10,000+",10000,TRUE,0,USD,45M,4.4,9017602380275420000,http://www.edokiacademy.com,admin@edokiacademy.com,"Aug 14, 2018","October 22, 2018",https://www.edokiacademy.com/en/privacy-policy/,Everyone,N/A,TRUE,FALSE,Free to download app offering fun interactive games for toddlers & preschoolers,5,4.4 and up,EDOKI ACADEMY,"10 rue de Penthièvre
75008 Paris - France",9.0176E+18,1.3
Montessori Monster Math Lab,com.edokiacademy.mathMonsters,Education,3.7857144,98,"50,000+",50000,TRUE,0,USD,55M,2.3,9017602380275420000,http://www.edokiacademy.com,support@edokiacademy.com,"Apr 14, 2016","April 26, 2016",https://www.edokiacademy.com/en/privacy-policy/,Everyone,N/A,TRUE,FALSE,An amazing math app to discover additions & subtractions with fun monsters!,43,2.3 and up,EDOKI ACADEMY,"10 rue de Penthièvre
75008 Paris - France",9.0176E+18,1
Zen Studio: Finger Painting,com.edokiacademy.zenstudio,Education,3.77,141,"10,000+",10000,TRUE,0,USD,89M,4.1,9017602380275420000,http://www.edokiacademy.com,support@edokiacademy.com,"Dec 4, 2015","July 25, 2019",https://www.sevenacademy.com/en/privacy-policy/,Everyone,N/A,TRUE,FALSE,Zen Studio: finger painting for kids to relax & focus  - From 3 years old,63,4.1 and up,EDOKI ACADEMY,"10 rue de Penthièvre
75008 Paris - France",9.0176E+18,1.16
Joy of Reading - learn to read from 3 years old,com.edokiacademy.joyofreading,Education,3.4545455,11,"1,000+",1000,TRUE,0,USD,89M,4.2,9017602380275420000,http://edokiacademy.com,valerie@edokiacademy.com,"Apr 10, 2020","June 4, 2020",https://montessori.edokiacademy.com/en/privacy-policy/,Everyone,N/A,TRUE,FALSE,"From phonics to confident reader: ABCs, phonics, CVCs, blending, reading",7,4.2 and up,EDOKI ACADEMY,"10 rue de Penthièvre
75008 Paris - France",9.0176E+18,1.1
Le Bonheur de Lire,com.sevenacademy.BonheurDeLire,Education,0,N/A,"10,000+",10000,TRUE,0,USD,82M,4.1,9017602380275420000,https://montessori.edokiacademy.com/en/our-games/literacy/le-bonheur-de-lire,valerie@edokiacademy.com,"Jun 11, 2020","June 11, 2020",https://montessori.edokiacademy.com/en/privacy-policy/,Everyone,N/A,TRUE,FALSE,Learn to read French with a fun and proven method!,0,4.1 and up,EDOKI ACADEMY,"10 rue de Penthièvre
75008 Paris - France",9.0176E+18,1.1
Montessori Numberland,com.lestroiselles.chiffres,Education,0,N/A,100+,100,FALSE,3.49,USD,59M,4.1,9017602380275420000,http://www.edokiacademy.com,support@edokiacademy.com,"Aug 17, 2018","October 21, 2020",https://www.edokiacademy.com/en/privacy-policy/,Everyone,N/A,FALSE,FALSE,Count & trace numbers up to 9,0,4.1 and up,EDOKI ACADEMY,"10 rue de Penthièvre
75008 Paris - France",9.0176E+18,5.3
Kids Learning Box: Preschool,com.kidsappbox.kidslearninggame,Educational,4.379397,3967,"1,000,000+",1000000,TRUE,0,USD,16M,4.1,8840924357018370000,http://kidsappbox.com,kidsappboxmobile@gmail.com,"Dec 31, 2016","June 24, 2020",http://kidsappbox.com/privacy/,Everyone,TRUE,TRUE,FALSE,Kids learning games for Preschool and Kindergarten children. Educative Fun Games,1001,4.1 and up,KidsAppBox,"3505 El Camino Real, Palo Alto, CA 94306",8.84092E+18,1.9
First Words Baby Games: Toddler Learning Games,com.kidsappbox.firstwordsforbaby,Educational,4.16,968,"500,000+",500000,TRUE,0,USD,89M,5,8840924357018370000,http://kidsappbox.com,kidsappboxmobile@gmail.com,"May 8, 2018","December 7, 2020",http://kidsappbox.com/privacy/,Everyone,TRUE,TRUE,FALSE,Collection of baby learning games and toddler games free for 2 years old!,274,5.0 and up,KidsAppBox,"3505 El Camino Real, Palo Alto, CA 94306",8.84092E+18,2.1
HooplaKidz Plus Preschool App,com.hooplakidzplus,Education,4.40367,114,"100,000+",100000,TRUE,0,USD,41M,5,6530032268780280000,https://plus.hooplakidz.com/,hooplakidz@gmail.com,"Apr 5, 2019","April 14, 2021",https://plus.hooplakidz.com/privacy,Everyone,N/A,TRUE,FALSE,A magical world of fun and learning awaits! Safe edutainment for kids,79,5.0 and up,HooplaKidz,"YoBoHo New Media Pvt Ltd
Mezzanine Floor, Crystal House,
Dr. Annie Besant Road, Plot No. 79,
Worli, Mumbai- 400018.",6.53003E+18,6.110.1
YouCurious,com.yoboho.youcurious,Entertainment,0,N/A,100+,100,TRUE,0,USD,4.6M,5,6530032268780280000,N/A,vlogboxmedia@gmail.com,"Oct 21, 2020","October 28, 2020",https://vlogbox.com/privacy-policy,Mature 17+,N/A,FALSE,FALSE,YouCurious? presents facts and information with entertainment to feed curiosity,0,5.0 and up,HooplaKidz,"YoBoHo New Media Pvt Ltd
Mezzanine Floor, Crystal House,
Dr. Annie Besant Road, Plot No. 79,
Worli, Mumbai- 400018.",6.53003E+18,1.0.0
TeeheeTown,com.yoboho.teeheetown,Entertainment,0,N/A,100+,100,TRUE,0,USD,5.0M,5,6530032268780280000,N/A,vlogboxmedia@gmail.com,"Oct 21, 2020","October 21, 2020",https://vlogbox.com/privacy-policy,Everyone,N/A,FALSE,FALSE,"Join Len and Mini on a fun, musical and a spooky adventure around Teehee Town!",0,5.0 and up,HooplaKidz,"YoBoHo New Media Pvt Ltd
Mezzanine Floor, Crystal House,
Dr. Annie Besant Road, Plot No. 79,
Worli, Mumbai- 400018.",6.53003E+18,1.0.0
NurseryRhymeStreet,com.yoboho.nurseryrhymestreet,Entertainment,0,N/A,0+,0,TRUE,0,USD,5.0M,5,6530032268780280000,N/A,vlogboxmedia@gmail.com,"Oct 21, 2020","October 29, 2020",https://vlogbox.com/privacy-policy,Everyone,N/A,FALSE,FALSE,Welcome to the fun world of nursery rhymes where you can learn and sing along!,0,5.0 and up,HooplaKidz,"YoBoHo New Media Pvt Ltd
Mezzanine Floor, Crystal House,
Dr. Annie Besant Road, Plot No. 79,
Worli, Mumbai- 400018.",6.53003E+18,1.0.0
HooplaKidz,com.yoboho.hooplakidz,Entertainment,0,N/A,0+,0,TRUE,0,USD,4.8M,5,6530032268780280000,N/A,vlogboxmedia@gmail.com,"Oct 21, 2020","October 28, 2020",https://vlogbox.com/privacy-policy,Everyone,N/A,FALSE,FALSE,"HooplaKidz offers a bouquet of nursery rhymes, kids songs and learning videos.",0,5.0 and up,HooplaKidz,"YoBoHo New Media Pvt Ltd
Mezzanine Floor, Crystal House,
Dr. Annie Besant Road, Plot No. 79,
Worli, Mumbai- 400018.",6.53003E+18,1.0.0
Cooking Company,com.yoboho.cookingco,Food & Drink,0,N/A,0+,0,TRUE,0,USD,4.6M,5,6530032268780280000,N/A,vlogboxmedia@gmail.com,"Oct 21, 2020","October 28, 2020",https://vlogbox.com/privacy-policy,Everyone,N/A,FALSE,FALSE,Embark on a delicious journey with dessert and savories recipes from Cooking Co.,0,5.0 and up,HooplaKidz,"YoBoHo New Media Pvt Ltd
Mezzanine Floor, Crystal House,
Dr. Annie Besant Road, Plot No. 79,
Worli, Mumbai- 400018.",6.53003E+18,1.0.0
Kids Educational Games: Preschool and Kindergarten,air.com.shubi.LearnCNLW.english,Educational,4.290179,4487,"1,000,000+",1000000,TRUE,0,USD,57M,4,8064845311515070000,http://shubi-apps.com/,rony.arbiv@gmail.com,"Feb 10, 2014","January 18, 2020",https://sites.google.com/view/privacyshubi/home,Everyone,TRUE,TRUE,FALSE,"32 free educational games for kids aged 2-8: toddlers, preschool & kindergarten",1803,4.0 and up,Shubi,"kefar truman
rony.arbiv@gmail.com",8.06485E+18,2.6.0
